"# Weather station Nairobi (airport), Kenya, WMO_ID=63740,selection from 01.01.2016 till 31.12.2016, all days",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Encoding: UTF-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The data is provided by the website ""Reliable Prognosis"", rp5.ru ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# If you use the data, please indicate the name of the website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=63740&lang=en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local time in Nairobi (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
17.06.2016 09:00,16.0,,,,83,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,15.0,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,13.0,1,24,,,,
17.06.2016 03:00,15.5,,,,91,Wind blowing from the west-northwest,2,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,,10.0,14.0,1,6,,,,
16.06.2016 21:00,19.0,,,,81,Wind blowing from the north,2,,,"90  or more, but not 100%", ,,,,23.5,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,,10.0,15.6,,,,,,
16.06.2016 15:00,22.0,,,,62,variable wind direction,2,,,"90  or more, but not 100%", ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus translucidus.,,20.0,14.3,,,,,,
16.06.2016 09:00,16.0,,,,86,variable wind direction,2,,,"90  or more, but not 100%", ,,,12.0,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90  or more, but not 100%",300-600,,,10.0,13.7,,,,,,
16.06.2016 03:00,14.5,,,,,Wind blowing from the west,3,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,,,,,,,
15.06.2016 21:00,19.2,,,,67,Wind blowing from the east-southeast,2,,,60%., ,,,,23.5,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,,30.0,13.0,,,,,,
15.06.2016 15:00,23.0,,,,54,Wind blowing from the east-southeast,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,Altocumulus translucidus at a single level.,,30.0,13.1,,,,,,
15.06.2016 09:00,16.8,,,,76,Wind blowing from the south-east,3,,,40%., ,,,12.0,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",2.0,12.6,6,24,,,,
15.06.2016 03:00,12.4,,,,86,Wind blowing from the south-west,3,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",30.0,10.1,,,,,,
14.06.2016 21:00,18.8,,,,72,Wind blowing from the north,2,,,70 – 80%.,State of sky on the whole unchanged. ,Thunderstorm(s) with or without precipitation.,Shower(s).,,25.6,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,,,20.0,13.6,6,12,,,,
14.06.2016 15:00,24.5,,,,48,Wind blowing from the south-east,4,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.6,,,,,,
14.06.2016 09:00,16.3,,,,73,Wind blowing from the south,3,,,20–30%., ,,,11.5,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,11.4,,,,,,
14.06.2016 03:00,15.1,,,,88,Wind blowing from the south-west,4,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,30.0,13.1,,,,,,
13.06.2016 21:00,19.0,,,,71,Wind blowing from the south-southeast,3,,,70 – 80%., ,,,,23.5,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,Altocumulus translucidus at a single level.,,20.0,13.5,,,,,,
13.06.2016 15:00,22.2,,,,59,Wind blowing from the south,3,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.8,,,,,,
13.06.2016 09:00,16.5,,,,92,Wind blowing from the south-east,3,,,100%., ,,,15.0,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,200-300,,,10.0,15.1,,,,,,
13.06.2016 03:00,16.0,,,,92,Wind blowing from the east,2,,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,14.7,,,,,,
12.06.2016 21:00,18.0,,,,76,Wind blowing from the north-east,3,,,20–30%., ,,,,25.5,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.6,,,,,,
12.06.2016 15:00,24.7,,,,51,Wind blowing from the east,4,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.9,,,,,,
12.06.2016 09:00,16.5,,,,86,Wind blowing from the south,4,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,20.0,14.2,,,,,,
12.06.2016 03:00,15.0,,,,90,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,13.4,,,,,,
11.06.2016 21:00,19.0,,,,73,Wind blowing from the east,5,,,"90  or more, but not 100%", ,,,,22.0,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",600-1000,,,20.0,14.1,,,,,,
11.06.2016 15:00,21.3,,,,62,Wind blowing from the east-southeast,3,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",600-1000,,,20.0,13.8,,,,,,
11.06.2016 09:00,16.1,,,,86,Wind blowing from the south,3,,,100%., ,,,14.5,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,200-300,,,20.0,13.8,,,,,,
11.06.2016 03:00,14.5,,,,90,Wind blowing from the north,2,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.9,,,,,,
10.06.2016 21:00,19.2,,,,67,Wind blowing from the east,4,,,60%., ,,,,23.5,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.9,,,,,,
10.06.2016 15:00,22.1,,,,58,Wind blowing from the north-east,3,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.3,,,,,,
10.06.2016 09:00,15.5,,,,86,Wind blowing from the south-east,2,,,100%., ,,,13.0,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,200-300,,,10.0,13.1,,,,,,
10.06.2016 03:00,13.4,,,,89,Wind blowing from the north-northwest,2,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,200-300,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,11.6,,,,,,
09.06.2016 21:00,18.7,,,,69,Wind blowing from the east,3,,,70 – 80%., ,,,,23.5,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,200-300,Altocumulus translucidus at a single level.,,30.0,12.8,,,,,,
09.06.2016 15:00,22.3,,,,55,Wind blowing from the east,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.8,,,,,,
09.06.2016 09:00,16.0,,,,84,Wind blowing from the south-east,3,,,"90  or more, but not 100%", ,,,13.0,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,13.2,,,,,,
09.06.2016 03:00,14.5,,,,93,Wind blowing from the north,2,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,30.0,13.3,,,,,,
08.06.2016 21:00,20.0,,,,65,Wind blowing from the north-east,2,,,70 – 80%., ,,,,25.0,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,,30.0,13.2,,,,,,
08.06.2016 15:00,24.2,,,,51,Wind blowing from the south-southeast,2,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.3,,,,,,
08.06.2016 09:00,17.0,,,,88,Wind blowing from the south,2,,,"90  or more, but not 100%", ,,,13.7,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,25.0,14.9,,,,,,
08.06.2016 03:00,15.3,,,,91,Wind blowing from the north,4,,,60%., ,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,200-300,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.8,,,,,,
07.06.2016 21:00,18.8,,,,64,Wind blowing from the east-southeast,3,,,40%., ,,,,24.6,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",30.0,11.8,,,,,,
07.06.2016 15:00,23.3,,,,,Wind blowing from the south,3,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,,,,,,,
07.06.2016 09:00,17.0,,,,82,variable wind direction,2,,,"90  or more, but not 100%", ,,,15.2,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,13.9,,,,,,
07.06.2016 03:00,16.0,,,,85,Wind blowing from the north,2,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",2.0,13.5,Trace of precipitation,6,,,,
06.06.2016 21:00,18.5,,,,74,Wind blowing from the south-east,3,,,20–30%., ,,,,24.2,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.8,,,,,,
06.06.2016 15:00,23.0,,,,49,variable wind direction,2,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,11.7,,,,,,
06.06.2016 09:00,17.0,,,,82,Wind blowing from the south,3,,,"90  or more, but not 100%", ,,,13.5,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,30.0,13.9,,,,,,
06.06.2016 03:00,16.0,,,,86,Wind blowing from the south-southwest,2,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.7,,,,,,
05.06.2016 21:00,19.0,,,,67,Wind blowing from the east-northeast,4,,,50%., ,,,,24.0,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.6,,,,,,
05.06.2016 15:00,23.2,,,,55,Wind blowing from the east-southeast,5,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.5,,,,,,
05.06.2016 09:00,16.8,,,,84,Wind blowing from the south,3,,,"90  or more, but not 100%", ,,,12.5,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,20.0,14.1,,,,,,
05.06.2016 03:00,14.5,,,,93,Wind blowing from the west-southwest,2,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,13.3,,,,,,
04.06.2016 21:00,18.4,,,,71,Wind blowing from the east,4,,,60%., ,,,,24.3,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.0,,,,,,
04.06.2016 15:00,23.2,,,,51,Wind blowing from the east,2,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",25.0,12.6,,,,,,
04.06.2016 09:00,16.8,,,,88,Wind blowing from the north-east,3,,,"90  or more, but not 100%", ,,,13.4,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,25.0,14.7,,,,,,
04.06.2016 03:00,13.8,,,,90,Wind blowing from the west-southwest,2,,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.2,,,,,,
03.06.2016 21:00,18.3,,,,74,Wind blowing from the north-east,5,,,"10%  or less, but not 0", ,,,,25.5,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.6,,,,,,
03.06.2016 15:00,24.2,,,,52,Wind blowing from the east-northeast,5,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.8,,,,,,
03.06.2016 09:00,17.2,,,,84,Wind blowing from the south-east,4,,,"90  or more, but not 100%", ,,,13.7,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,25.0,14.4,,,,,,
03.06.2016 03:00,14.7,,,,93,Wind blowing from the west,2,,,"90  or more, but not 100%", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,,30.0,13.6,,,,,,
02.06.2016 21:00,18.6,,,,73,Wind blowing from the north-northeast,3,,,"10%  or less, but not 0", ,,,,25.5,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.7,,,,,,
02.06.2016 15:00,24.5,,,,46,Wind blowing from the east-northeast,3,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.2,,,,,,
02.06.2016 09:00,16.0,,,,91,Wind blowing from the south,3,,,70 – 80%., ,,,11.5,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,200-300,,,20.0,14.5,,,,,,
02.06.2016 03:00,14.2,,,,90,Wind blowing from the north-northeast,2,,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.6,,,,,,
01.06.2016 21:00,18.8,,,,68,Wind blowing from the east-southeast,3,,,"10%  or less, but not 0", ,,,,25.0,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.7,,,,,,
01.06.2016 15:00,24.9,,,,47,Wind blowing from the east,3,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.8,,,,,,
01.06.2016 09:00,18.2,,,,83,Wind blowing from the north-east,2,,,70 – 80%., ,,,13.0,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",40.0,15.2,,,,,,
01.06.2016 03:00,15.0,,,,91,Wind blowing from the north-northeast,2,,,"10%  or less, but not 0", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,13.5,,,,,,
31.05.2016 21:00,18.0,,,,70,Wind blowing from the east-northeast,3,,,20–30%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,12.5,,,,,,
31.05.2016 09:00,16.5,,,,86,variable wind direction,2,,,"90  or more, but not 100%", ,,,14.0,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90  or more, but not 100%",300-600,,,10.0,14.2,,,,,,
31.05.2016 03:00,15.0,,,,91,Wind blowing from the north-northwest,2,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.5,,,,,,
30.05.2016 21:00,18.4,,,,71,Wind blowing from the east,4,,,"10%  or less, but not 0", ,,,,24.5,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.0,,,,,,
30.05.2016 15:00,23.8,,,,52,Wind blowing from the east-northeast,3,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.3,,,,,,
30.05.2016 09:00,16.2,,,,85,Wind blowing from the north,2,,,"90  or more, but not 100%", ,,,12.5,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,Altocumulus translucidus at a single level.,,30.0,13.7,,,,,,
30.05.2016 03:00,14.0,,,,90,Wind blowing from the north-west,3,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.4,,,,,,
29.05.2016 21:00,18.2,,,,72,Wind blowing from the east-northeast,3,,,50%., ,,,,24.5,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,Altocumulus translucidus at a single level.,,30.0,13.1,,,,,,
29.05.2016 15:00,22.5,,,,53,Wind blowing from the east-southeast,3,,,60%., ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,12.5,,,,,,
29.05.2016 09:00,16.8,,,,84,variable wind direction,1,,,40%., ,,,11.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",20.0,14.0,,,,,,
29.05.2016 03:00,14.5,,,,91,Wind blowing from the north-west,2,,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,13.1,,,,,,
28.05.2016 15:00,23.0,,,,56,Wind blowing from the east-northeast,3,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.7,,,,,,
28.05.2016 09:00,17.0,,,,75,Wind blowing from the south-southwest,2,,,70 – 80%., ,,,13.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,,30.0,12.5,,,,,,
28.05.2016 03:00,14.0,,,,90,Wind blowing from the north-east,3,,,60%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",40.0,12.4,,,,,,
27.05.2016 21:00,17.5,,,,85,Wind blowing from the east-northeast,2,,,70 – 80%., ,,,,20.2,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,300-600,Altocumulus translucidus at a single level.,,30.0,14.9,,,,,,
27.05.2016 15:00,20.0,,,,75,Wind blowing from the east-northeast,4,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",300-600,,,20.0,15.5,,,,,,
27.05.2016 09:00,15.8,,,,93,Wind blowing from the north-east,3,,,100%., ,,,15.5,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,100-200,,,20.0,14.6,Trace of precipitation,24,,,,
27.05.2016 03:00,15.6,,,,93,Wind blowing from the north-east,2,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus translucidus at a single level.,,30.0,14.5,Trace of precipitation,6,,,,
26.05.2016 21:00,19.3,,,,77,Wind blowing from the north-east,4,,,70 – 80%., ,,,,24.2,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,Altocumulus translucidus at a single level.,,30.0,15.1,,,,,,
26.05.2016 15:00,24.0,,,,60,variable wind direction,2,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,15.8,,,,,,
26.05.2016 09:00,16.5,,,,86,Wind blowing from the south,3,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,20.0,14.2,,,,,,
25.05.2016 21:00,17.5,,,,89,Wind blowing from the north-northeast,2,,,60%., ,,,,21.0,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",20.0,15.6,,,,,,
25.05.2016 15:00,20.6,,,,69,Wind blowing from the south-southeast,3,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,Altocumulus translucidus at a single level.,,30.0,14.7,,,,,,
25.05.2016 09:00,16.0,,,,90,Wind blowing from the south,2,,,"90  or more, but not 100%", ,,,14.1,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",200-300,,,20.0,14.4,,,,,,
25.05.2016 03:00,15.0,,,,93,Wind blowing from the east-northeast,2,,,50%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.8,,,,,,
24.05.2016 21:00,19.0,,,,79,Wind blowing from the east-southeast,2,,,60%., ,,,,23.5,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,Altocumulus translucidus at a single level.,,30.0,15.2,,,,,,
24.05.2016 15:00,23.0,,,,56,variable wind direction,2,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",30.0,13.7,,,,,,
24.05.2016 09:00,16.5,,,,88,Wind blowing from the south-southwest,4,,,100%., ,,,15.5,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,200-300,,,30.0,14.5,,,,,,
24.05.2016 03:00,15.5,,,,96,Wind blowing from the south,2,,,"90  or more, but not 100%", ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altocumulus translucidus at a single level.,,40.0,14.8,,,,,,
23.05.2016 21:00,18.5,,,,83,Wind blowing from the east-northeast,3,,,70 – 80%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,600-1000,Altocumulus translucidus at a single level.,,30.0,15.5,,,,,,
23.05.2016 09:00,16.5,,,,94,Wind blowing from the south,3,,,"90  or more, but not 100%", ,,,15.0,,Stratocumulus other than Stratocumulus cumulogenitus.,"90  or more, but not 100%",100-200,,,10.0,15.5,Trace of precipitation,24,,,,
23.05.2016 03:00,15.0,,,,97,Wind blowing from the south-west,3,,,40%., ,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,300-600,Altostratus translucidus.,,30.0,14.6,,,,,,
